STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
89,209,HCM - 902 Le Van Luong,"902 Lê Văn Lương, xã Phước Kiểng, Huyện Nhà Bè, TP.HCM",HCM,Ho Chi Minh,Nha Be,"10.7151798, 106.7003841",,
90,211,CTO - 1209 Quoc Lo 91,"1209 Đường Quốc Lộ 91, Phường Châu Văn Liêm, Quận Ô Môn, TP Cần Thơ.",Mekong2,Can Tho,O Mon,"10.1091081, 105.6217508",,
91,212,BDU - 01 Pasteur,"Số 01 Pasteur , Khu Phố Chợ, Thị Trấn Lái Thiêu, Thành phố Thuận An, Bình Dương",SouthEast2,Binh Duong,Thuan An,"10.7782086, 106.6987449",,
92,213,BDI - 256 Ngo Gia Tu,"256 Ngô Gia Tự, phường Bình Định, thị xã An Nhơn, Tỉnh Bình Định",Central2,Binh Dinh,An Nhon,"13.8890913, 109.113324",,
93,214,TNI - 180 Quoc Lo 22,"180 Quốc Lộ 22, khu phố Lộc Du, thị trấn Trảng Bảng, tỉnh Tây Ninh",SouthEast1,Tay Ninh,Trang Bang,"11.0327475, 106.3550138",,
94,215,HCM - 755 Le Trong Tan,"751-753-755 Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Binh Tan,"10.8156373, 106.6028574",,
95,216,HCM - 829-829A Ha Huy Giap,"829 - 829A Hà Huy Giáp, phường Thạnh Xuân, quận 12, TPHCM",HCM,Ho Chi Minh,Quan 12,"10.8913949, 106.6861264",,
96,218,BTH - 207-209 Thong Nhat,"207 - 209 Thống Nhất, dân phố 14, thị trấn Phan Rí Cửa, huyện Tuy Phong, tỉnh Bình Thuận.",Central1,Binh Thuan,Tuy Phong,"11.1735786, 108.5659333",,
97,220,AGI - 110 Ton Duc Thang,"110 Tôn Đức Thắng, P.Long Thạnh, TX. Tân Châu, Tỉnh An Giang",Mekong2,An Giang,Tan Chau,"10.7016585, 105.1334034",,
98,221,BPH - 269 Nguyen Hue,"269 Nguyễn Huệ, KP, Bình Phú, P. An Lộc, Thị xã Bình Long, tỉnh Bình Phước",SouthEast2,Binh Phuoc,Binh Long,"11.6544637, 106.6088956",,
99,222,BDU - 119-121 An Binh,"119-121 đường An Bình, phường An Bình, Thành phố Dĩ An, tỉnh Bình Dương.",SouthEast2,Binh Duong,Di An,"10.8697515, 106.7566607",,
100,223,HCM - 213-215 Tan Huong,"213 - 215 Tân Hương, phường Tân Quý, quận Tân Phú, TPHCM",HCM,Ho Chi Minh,Tan Phu,"10.7898802, 106.6227424",,
101,225,HCM - 89/2-91 Phan Huy Ich,"89/2 -91 Phan Huy Ích, P.15, Quận Tân Bình, Tp HCM",HCM,Ho Chi Minh,Tan Binh,"10.8282887, 106.631918",,
102,227,BDU - 26 Duong DT 746,"Đất số 26 Đường DT746, Khu phố Khánh Thạnh, Phường Tân Phước Khánh, Thị Xã Tân uyên, Bình Dương",SouthEast2,Binh Duong,Tan Uyen,"11.0057223, 106.7202274",,
103,229,BVT - 236-238 Hung Vuong,"Số 236-238 đường Hùng Vương, thị trấn Ngãi Giao, huyện Châu Đức, tỉnh Bà Rịa Vũng Tàu",SouthEast2,Ba Ria - Vung Tau,Chau Duc,"10.6467165, 107.2459296",,
104,230,CTO - Quoc Lo 91,"Đường QL91, KV Long Thạnh 1, phường Thốt Nốt, quận Thốt Nốt, Thành Phố Cần Thơ",Mekong2,Can Tho,Thot Not,"10.2693584, 105.5313184",,
105,231,AGI - 315/4 Tran Hung Dao,"315/4 Trần Hưng Đạo, Phường Mỹ Long, TP Long Xuyên, An Giang.",Mekong2,An Giang,Long Xuyen,"10.3774963, 105.4401415",,
106,232,BDU - 39 Doc Lap,"39 Độc Lập, Kp1, Thị Trấn Phước Vĩnh, Phú Giáo, Bình Dương",SouthEast2,Binh Duong,Phu Giao,"11.28945, 106.79221",,
107,233,LDO - 494 Quoc Lo 20,"494 Quốc lộ 20, thị trấn Liên Nghĩa, huyện Đức Trọng, tỉnh Lâm Đồng",Highland1,Lam Dong,Duc Trong,"11.7295682, 108.371451",,
108,234,HCM - 1187 Nguyen Duy Trinh,"1187 Nguyễn Duy Trinh, P. Long Trường, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8027458, 106.8129291",,
